"
Designator",Val,Package,Mid X,Mid Y,Rotation,Side
BOOTSEL1,SW_Push,SW4_PTS815 SJM 250 SMTR LFS_CNK,159.7,-113.1,-90,B
C1,100n,C_0402_1005Metric,149.6,-120.5,-90,B
C2,100n,C_0402_1005Metric,153.625,-98.4,180,B
C3,10u,C_0603_1608Metric,141.8,-92.37,180,B
C5,10u,C_0603_1608Metric,141.8,-103.63,180,B
C7,10p,C_0402_1005Metric,151.95,-122.93,180,B
C8,10p,C_0402_1005Metric,148.25,-122.93,0,B
C9,100n,C_0402_1005Metric,149,-107.9,90,B
C11,100n,C_0402_1005Metric,150.9,-106.6,90,B
C12,100n,C_0402_1005Metric,145.2,-115.55,-90,B
C13,100n,C_0402_1005Metric,144.88,-111.9,180,B
C14,100n,C_0402_1005Metric,155.9,-111.2,0,B
C15,100n,C_0402_1005Metric,154.875,-115.55,-90,B
C16,100n,C_0402_1005Metric,148.6,-120.5,-90,B
C17,100n,C_0402_1005Metric,146,-107.875,90,B
C18,1u,C_0603_1608Metric,144.6,-109.8,180,B
C19,1u,C_0603_1608Metric,153,-105.9,0,B
D1,D,D_SMA,141.8,-88,180,B
D2,1N914,D_SOD-123,63.1,-89.4,90,B
D3,1N914,D_SOD-123,63.1,-106.4,90,B
D4,1N914,D_SOD-123,255.1,-89.4,90,B
D5,1N914,D_SOD-123,255.1,-106.4,90,B
D6,1N914,D_SOD-123,81.1,-89.4,90,B
D7,1N914,D_SOD-123,81.1,-106.4,90,B
D8,1N914,D_SOD-123,237.1,-89.4,90,B
D9,1N914,D_SOD-123,237.1,-106.4,90,B
D10,1N914,D_SOD-123,201.1,-123.4,90,B
D11,1N914,D_SOD-123,99.1,-89.65,90,B
D12,1N914,D_SOD-123,99.1,-106.4,90,B
D13,1N914,D_SOD-123,219.1,-89.4,90,B
D14,1N914,D_SOD-123,219.1,-106.4,90,B
D15,1N914,D_SOD-123,183.1,-123.4,90,B
D16,1N914,D_SOD-123,117.1,-89.4,90,B
D17,1N914,D_SOD-123,117.1,-106.4,90,B
D18,1N914,D_SOD-123,201.1,-89.4,90,B
D19,1N914,D_SOD-123,201.1,-106.4,90,B
D20,1N914,D_SOD-123,117.1,-123.4,90,B
D21,1N914,D_SOD-123,135.1,-89.4,90,B
D22,1N914,D_SOD-123,135.1,-106.4,90,B
D23,1N914,D_SOD-123,183.1,-89.4,90,B
D24,1N914,D_SOD-123,183.1,-106.4,90,B
D25,1N914,D_SOD-123,135.1,-123.4,90,B
R1,1k Ohms,R_0402_1005Metric,155.9,-110.1,180,B
R2,5.1K Ohm,R_0402_1005Metric,152.245,-87.175,-90,B
R3,5.1K Ohm,R_0402_1005Metric,148.325,-87.175,-90,B
R4,27 Ohm,R_0402_1005Metric,147,-107.9,-90,B
R5,27 Ohm,R_0402_1005Metric,148,-107.9,-90,B
R6,1k Ohms,R_0402_1005Metric,147.6,-119.6,-90,B
R7,1k Ohms,R_0402_1005Metric,150.6,-120.5,90,B
R8,120 Ohm,R_0402_1005Metric,160.5,-83.1,90,B
RST1,SW_Push,SW4_PTS815 SJM 250 SMTR LFS_CNK,140.54998,-113.087499,-90,B
U1,W25Q16JVSS,SOIC-8_5.3x5.3mm_P1.27mm,157.7,-101.8,180,B
U2,AMS1117-3.3,SOT-223-3_TabPin2,141.8,-98,-90,B
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,150.1,-114.0625,180,B
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.1,-126.2,0,B
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,150.1,-78.93,180,T
LED1,LED,LED_0402_1005Metric,158,-83.1,90,T
S1_S1,Keyswitch,Hotswap_Choc_V1V2_1.00u,54.1,-89.4,0,T
S2_T1,Keyswitch,Hotswap_Choc_V1V2_1.00u,72.1,-89.4,0,T
S3_P1,Keyswitch,Hotswap_Choc_V1V2_1.00u,90.1,-89.4,0,T
S4_H1,Keyswitch,Hotswap_Choc_V1V2_1.00u,108.1,-89.4,0,T
S5_*1,Keyswitch,Hotswap_Choc_V1V2_1.00u,126.1,-89.4,0,T
S6_S1,Keyswitch,Hotswap_Choc_V1V2_1.00u,54.1,-106.4,0,T
S7_K1,Keyswitch,Hotswap_Choc_V1V2_1.00u,72.1,-106.4,0,T
S8_W1,Keyswitch,Hotswap_Choc_V1V2_1.00u,90.1,-106.4,0,T
S9_R1,Keyswitch,Hotswap_Choc_V1V2_1.00u,108.1,-106.4,0,T
S10_*1,Keyswitch,Hotswap_Choc_V1V2_1.00u,126.1,-106.4,0,T
S11_F1,Keyswitch,Hotswap_Choc_V1V2_1.00u,246.1,-89.4,0,T
S12_P1,Keyswitch,Hotswap_Choc_V1V2_1.00u,228.1,-89.4,0,T
S13_L1,Keyswitch,Hotswap_Choc_V1V2_1.00u,210.1,-89.4,0,T
S14_T1,Keyswitch,Hotswap_Choc_V1V2_1.00u,192.1,-89.4,0,T
S15_D1,Keyswitch,Hotswap_Choc_V1V2_1.00u,174.1,-89.4,0,T
S16_R1,Keyswitch,Hotswap_Choc_V1V2_1.00u,246.1,-106.4,0,T
S17_B1,Keyswitch,Hotswap_Choc_V1V2_1.00u,228.1,-106.4,0,T
S18_G1,Keyswitch,Hotswap_Choc_V1V2_1.00u,210.1,-106.4,0,T
S19_S1,Keyswitch,Hotswap_Choc_V1V2_1.00u,192.1,-106.4,0,T
S20_Z1,Keyswitch,Hotswap_Choc_V1V2_1.00u,174.1,-106.4,0,T
S21_O1,Keyswitch,Hotswap_Choc_V1V2_1.00u,126.1,-123.4,0,T
S22_A1,Keyswitch,Hotswap_Choc_V1V2_1.00u,108.1,-123.4,0,T
S23_E1,Keyswitch,Hotswap_Choc_V1V2_1.00u,174.1,-123.4,0,T
S24_U1,Keyswitch,Hotswap_Choc_V1V2_1.00u,192.1,-123.4,0,T
