Ref,Val,Package,PosX,PosY,Rot,Side
"BOOTSEL1","SW_Push","SW4_PTS815 SJM 250 SMTR LFS_CNK",159.700000,-113.100000,-90.000000,bottom
"C1","100n","C_0402_1005Metric",149.600000,-120.500000,-90.000000,bottom
"C2","100n","C_0402_1005Metric",153.625000,-98.400000,180.000000,bottom
"C3","10u","C_0603_1608Metric",141.800000,-92.370000,180.000000,bottom
"C5","10u","C_0603_1608Metric",141.800000,-103.630000,180.000000,bottom
"C7","10p","C_0402_1005Metric",151.950000,-122.930000,180.000000,bottom
"C8","10p","C_0402_1005Metric",148.250000,-122.930000,0.000000,bottom
"C9","100n","C_0402_1005Metric",149.000000,-107.900000,90.000000,bottom
"C11","100n","C_0402_1005Metric",150.900000,-106.600000,90.000000,bottom
"C12","100n","C_0402_1005Metric",145.200000,-115.550000,-90.000000,bottom
"C13","100n","C_0402_1005Metric",144.880000,-111.900000,180.000000,bottom
"C14","100n","C_0402_1005Metric",155.900000,-111.200000,0.000000,bottom
"C15","100n","C_0402_1005Metric",154.875000,-115.550000,-90.000000,bottom
"C16","100n","C_0402_1005Metric",148.600000,-120.500000,-90.000000,bottom
"C17","100n","C_0402_1005Metric",146.000000,-107.875000,90.000000,bottom
"C18","1u","C_0603_1608Metric",144.600000,-109.800000,180.000000,bottom
"C19","1u","C_0603_1608Metric",153.000000,-105.900000,0.000000,bottom
"D1","D","D_SMA",141.800000,-88.000000,180.000000,bottom
"D2","1N914","D_SOD-123",63.100000,-89.400000,90.000000,bottom
"D3","1N914","D_SOD-123",63.100000,-106.400000,90.000000,bottom
"D4","1N914","D_SOD-123",255.100000,-89.400000,90.000000,bottom
"D5","1N914","D_SOD-123",255.100000,-106.400000,90.000000,bottom
"D6","1N914","D_SOD-123",81.100000,-89.400000,90.000000,bottom
"D7","1N914","D_SOD-123",81.100000,-106.400000,90.000000,bottom
"D8","1N914","D_SOD-123",237.100000,-89.400000,90.000000,bottom
"D9","1N914","D_SOD-123",237.100000,-106.400000,90.000000,bottom
"D10","1N914","D_SOD-123",201.100000,-123.400000,90.000000,bottom
"D11","1N914","D_SOD-123",99.100000,-89.650000,90.000000,bottom
"D12","1N914","D_SOD-123",99.100000,-106.400000,90.000000,bottom
"D13","1N914","D_SOD-123",219.100000,-89.400000,90.000000,bottom
"D14","1N914","D_SOD-123",219.100000,-106.400000,90.000000,bottom
"D15","1N914","D_SOD-123",183.100000,-123.400000,90.000000,bottom
"D16","1N914","D_SOD-123",117.100000,-89.400000,90.000000,bottom
"D17","1N914","D_SOD-123",117.100000,-106.400000,90.000000,bottom
"D18","1N914","D_SOD-123",201.100000,-89.400000,90.000000,bottom
"D19","1N914","D_SOD-123",201.100000,-106.400000,90.000000,bottom
"D20","1N914","D_SOD-123",117.100000,-123.400000,90.000000,bottom
"D21","1N914","D_SOD-123",135.100000,-89.400000,90.000000,bottom
"D22","1N914","D_SOD-123",135.100000,-106.400000,90.000000,bottom
"D23","1N914","D_SOD-123",183.100000,-89.400000,90.000000,bottom
"D24","1N914","D_SOD-123",183.100000,-106.400000,90.000000,bottom
"D25","1N914","D_SOD-123",135.100000,-123.400000,90.000000,bottom
"R1","1k Ohms","R_0402_1005Metric",155.900000,-110.100000,180.000000,bottom
"R2","5.1K Ohm","R_0402_1005Metric",152.245000,-87.175000,-90.000000,bottom
"R3","5.1K Ohm","R_0402_1005Metric",148.325000,-87.175000,-90.000000,bottom
"R4","27 Ohm","R_0402_1005Metric",147.000000,-107.900000,-90.000000,bottom
"R5","27 Ohm","R_0402_1005Metric",148.000000,-107.900000,-90.000000,bottom
"R6","1k Ohms","R_0402_1005Metric",147.600000,-119.600000,-90.000000,bottom
"R7","1k Ohms","R_0402_1005Metric",150.600000,-120.500000,90.000000,bottom
"R8","120 Ohm","R_0402_1005Metric",160.500000,-83.100000,90.000000,bottom
"RST1","SW_Push","SW4_PTS815 SJM 250 SMTR LFS_CNK",140.549980,-113.087499,-90.000000,bottom
"U1","W25Q16JVSS","SOIC-8_5.3x5.3mm_P1.27mm",157.700000,-101.800000,180.000000,bottom
